State,Total/Sample,Negative,Positive
Andaman and Nicobar Islands,9341,0,33
Andaman and Nicobar Islands,9859,0,33
Andaman and Nicobar Islands,10010,0,35
Andaman and Nicobar Islands,10226,0,38
Andhra Pradesh,191874,189823,2051
Andhra Pradesh,201196,199059,2137
Andhra Pradesh,210452,208247,2100
Andhra Pradesh,219490,217183,2157
Andhra Pradesh,238998,236618,2230
Arunachal Pradesh,10025,8552,43
Arunachal Pradesh,10790,8877,46
Arunachal Pradesh,11261,9350,49
Arunachal Pradesh,11516,9921,51
Assam,41116,38183,141
Assam,47084,422729,170
Assam,51730,46442,203
Assam,55791,50450,259
Bihar,10495,0,92
Bihar,11319,0,96
Bihar,11999,0,115
Bihar,12978,0,136
Chattisgarh,1642977,0,43
Chattisgarh,1664735,0,46
Chattisgarh,1679649,0,49
Chattisgarh,1698096,0,51
Delhi,22283,17449,1893
Delhi,24387,19393,2003
Delhi,25900,20712,2081
Delhi,26627,21810,2156
Delhi,28309,22713,2248
